repo,message,date,author
donnemartin/system-design-primer,Fix URL for Layer 4 load balancing (#1181),2026-03-12T01:12:08Z,Isaiah Becker-Mayer
donnemartin/system-design-primer,Fix link for push and pull CDNs (#1190),2026-03-11T02:27:35Z,Miguel Angel Rojo
donnemartin/system-design-primer,Fix grammar in Motivation section (#1203),2026-03-08T19:28:31Z,Rohan Santhosh
donnemartin/system-design-primer,"Fix ""Design a key-value store like Redis"" link (#1197)",2026-03-08T19:26:21Z,Daniel Bates
donnemartin/system-design-primer,"Fix broken link to ""How to ace a systems design interview"" (#1031) (#1032)",2025-11-03T12:06:22Z,Samuel Richardson
donnemartin/system-design-primer,Fix broken CAP theorem link  #1160 (#1161),2025-11-01T03:07:55Z,Pranjit Medhi
donnemartin/system-design-primer,Fix Korean translation link (#1147),2025-10-30T10:26:35Z,Kim
donnemartin/system-design-primer,"Update all lecloud.net links (#1042)

* Update all lecloud.net links

Update all lecloud.net links to the web archive since the lecloud.net website does not exist anymore

* Update all languages",2025-05-21T11:13:33Z,Kirill Artamonov
donnemartin/system-design-primer,Add Stripe engineering blog (#592),2024-12-02T01:10:39Z,Satya Vinay
donnemartin/system-design-primer,Fix links to Debunking the myths of RPC and REST (#855),2024-06-29T00:09:29Z,bali
donnemartin/system-design-primer,Fix DNS routing hyperlinks (#872),2024-06-23T17:36:45Z,Aditya Vishwakarma
donnemartin/system-design-primer,"Fix Scalability Article links (#750)

Linking to Wayback Machine since it seems the domain expired",2023-03-16T09:58:19Z,dgolant
donnemartin/system-design-primer,Fix top k requests link (#717),2022-12-11T20:06:51Z,Iheb Haboubi
donnemartin/system-design-primer,Update latency vs throughput blog link (#716),2022-11-13T21:04:17Z,Anand
donnemartin/system-design-primer,Fix typo (#694),2022-07-31T16:44:43Z,Chetan Nair
donnemartin/system-design-primer,Fix typos (#661),2022-04-23T13:14:45Z,Kian-Meng Ang
donnemartin/system-design-primer,Fix # 650: Replace broken weighted round robin link (#651),2022-04-20T00:37:02Z,mleers
donnemartin/system-design-primer,Fix memcache architecture URL (#631),2022-02-13T02:52:00Z,Nnachevvv
donnemartin/system-design-primer,Update GitHub Engineering Blog link,2021-11-17T12:26:08Z,Lawrence Chou
donnemartin/system-design-primer,Fix capitalization of Dropbox (#511),2021-05-09T18:20:50Z,ayyjohn
donnemartin/system-design-primer,Fix LRU cache link (#505),2021-02-16T02:14:06Z,Trần Tiến Đức
donnemartin/system-design-primer,"Fixing the indieflashblog address with archive.org since website has been discontinued (#500)

@lerignoux thank you!",2021-02-16T02:10:03Z,Donne Martin
donnemartin/system-design-primer,Fixing the indieflashblog address with archive.org since website has been discontinued,2021-01-24T09:26:08Z,Laurent Erignoux
donnemartin/system-design-primer,Fix Celery URL (#486),2020-12-29T02:51:32Z,Abdalla Mohamed
donnemartin/system-design-primer,Update broken HBase architecture link (#481),2020-10-30T01:14:45Z,Peter Yao
donnemartin/system-design-primer,Fix translations link in PR template (#451),2020-08-02T18:13:17Z,Ryo Shibayama
donnemartin/system-design-primer,Fix #335: Update OSI image to Open Systems Interconnection (#447),2020-08-02T18:10:22Z,Isetty Ravi Teja Kumar
donnemartin/system-design-primer,Remove Imgur dependency by storing images locally (#168),2020-07-18T01:15:47Z,Daniel Julius Lasiman
donnemartin/system-design-primer,Remove extraneous __init__.py (#393),2020-07-12T16:02:44Z,Donne Martin
donnemartin/system-design-primer,"Resolve #281: Add design stock exchange links (#441)

* Additional question, build an exchange

fixes https://github.com/donnemartin/system-design-primer/issues/281

* Update README.md

Co-authored-by: Donne Martin <donne.martin@gmail.com>",2020-07-12T16:00:04Z,Donne Martin
donnemartin/system-design-primer,Update README.md,2020-07-12T15:58:35Z,Donne Martin
donnemartin/system-design-primer,Change disk to HDD for clarity (#295),2020-07-11T01:01:12Z,Adam Dobrawy
donnemartin/system-design-primer,Clarify CDN advantages (#310),2020-07-10T00:49:43Z,Noe Brito
donnemartin/system-design-primer,Add links for latency based and geolocation based routing (#319),2020-07-10T00:48:47Z,Varsha Muzumdar
donnemartin/system-design-primer,Update dead links (#321),2020-07-09T00:10:16Z,Ganessh Kumar
donnemartin/system-design-primer,Fix loop bug in deck of cards exercise (#396),2020-07-08T00:56:05Z,Joilson Cisne
donnemartin/system-design-primer,Add CAP theorem video link (#400),2020-07-08T00:54:01Z,Manas Gupta
donnemartin/system-design-primer,"Additional question, build an exchange

fixes https://github.com/donnemartin/system-design-primer/issues/281",2020-07-07T03:53:01Z,Harry Moreno
donnemartin/system-design-primer,Remove redundant SQL index in Pastebin exercise (#405),2020-07-07T01:05:50Z,John Richardson
donnemartin/system-design-primer,Fix Mint exercise bugs and typos (#409),2020-07-07T01:00:34Z,Vladimir Mikhaylov
donnemartin/system-design-primer,kr: Fix Korean translation link in language index (#340),2020-07-05T14:57:57Z,Youngchul Bang
donnemartin/system-design-primer,Add system design template link (#433),2020-07-05T14:53:28Z,Rahil
donnemartin/system-design-primer,Fix #313: Clarify availability patterns (#439),2020-07-05T14:50:31Z,Nachiket Acharya
donnemartin/system-design-primer,Fix typos in Twitter and web crawler exercises (#438),2020-07-05T14:48:23Z,Agade09
donnemartin/system-design-primer,Update Twitter back-of-the-envelope calculations (#414),2020-07-04T14:55:42Z,Kofi Forson
donnemartin/system-design-primer,Fix typo: Change replication to federation (#418),2020-07-04T14:53:56Z,Kevin Liu
donnemartin/system-design-primer,Check dependencies in Ebook gen script (#406),2020-07-04T01:24:24Z,Sainadh Devireddy
vinta/awesome-python,"Merge pull request #3027 from tarasko/master

Add picows library to WebSocket section",2026-04-07T03:34:03Z,Jinyang
vinta/awesome-python,Update 'picows' entry in README,2026-04-05T20:37:24Z,Taras Kozlov
vinta/awesome-python,Add picows library to WebSocket section,2026-04-05T20:24:06Z,Taras Kozlov
vinta/awesome-python,Merge pull request #3015 from torinsong/master,2026-04-04T09:28:06Z,Jinyang
vinta/awesome-python,"ci: skip deploy job on forks

Co-Authored-By: Claude <noreply@anthropic.com>",2026-04-03T08:16:08Z,Vinta Chen
vinta/awesome-python,"Add sglang to the list of libraries in README

Add sglang to the list of libraries in README",2026-04-03T01:41:01Z,torinsong
vinta/awesome-python,Add sglang to the list of libraries in README,2026-04-02T01:55:26Z,torinsong
vinta/awesome-python,"ci: skip tests on non-scheduled deploy runs

Co-Authored-By: Claude <noreply@anthropic.com>",2026-04-03T08:03:35Z,Vinta Chen
vinta/awesome-python,"docs: fix entry format in PR template to use - instead of *

Co-Authored-By: Claude <noreply@anthropic.com>",2026-04-03T08:03:33Z,Vinta Chen
vinta/awesome-python,"ci: always run tests and simplify branches syntax in deploy workflow

Co-Authored-By: Claude <noreply@anthropic.com>",2026-04-03T08:00:21Z,Vinta Chen
vinta/awesome-python,"test: add entry validation and broken-link detection tests

Add three tests against the real README: verify all entries have
non-empty names, valid http(s) URLs, and no broken markdown link
syntax (e.g. '[name(url)' missing the closing '](').

Co-Authored-By: Claude <noreply@anthropic.com>",2026-04-03T07:55:53Z,Vinta Chen
vinta/awesome-python,"ci: merge build/deploy jobs and cache stars by date

Collapse the two-job workflow into one, set the github-pages
environment on the single job, and key the star-data cache by
date (YYYY-MM-DD) so it is shared across same-day runs instead
of being per-run-id. Also skip tests on scheduled runs and
validate JSON before serving it.

Co-Authored-By: Claude <noreply@anthropic.com>",2026-04-03T07:55:46Z,Vinta Chen
vinta/awesome-python,"Merge pull request #3014 from aliden1z/fix-sqlite-casing

Fix SQLite casing in Database Drivers section",2026-04-02T01:48:01Z,Vinta Chen
vinta/awesome-python,"Fix SQLite casing in Database Drivers section

This PR corrects the casing of ""SQLite"" (from ""SQlite"") in the Database Drivers section to align with the official project name and maintain consistency across the documentation.

Replaced ""SQlite"" with ""SQLite"" in headings and descriptions.",2026-04-01T19:26:21Z,ALİ DENİZ TARTMA
vinta/awesome-python,"Merge pull request #3012 from JinyangWang27/add-trading-agents

Add TradingAgents",2026-04-01T03:34:05Z,Jinyang
vinta/awesome-python,add TradingAgents,2026-04-01T03:25:26Z,Jinyang
vinta/awesome-python,"Merge pull request #3010 from vinta/dependabot/uv/pygments-2.20.0

chore(deps): bump pygments from 2.19.2 to 2.20.0",2026-03-31T14:53:02Z,Vinta Chen
vinta/awesome-python,"chore(deps): bump pygments from 2.19.2 to 2.20.0

Bumps [pygments](https://github.com/pygments/pygments) from 2.19.2 to 2.20.0.
- [Release notes](https://github.com/pygments/pygments/releases)
- [Changelog](https://github.com/pygments/pygments/blob/master/CHANGES)
- [Commits](https://github.com/pygments/pygments/compare/2.19.2...2.20.0)

---
updated-dependencies:
- dependency-name: pygments
  dependency-version: 2.20.0
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",2026-03-31T14:52:41Z,dependabot[bot]
